ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB468,UTC1000S,RUNNING,R14MSCY02,2200,096ECMS003,AMS096EC1002A,22-04-02 19:57,22-04-02 00:14,MTI,FBGA-96UEC,5559,04/25/2022 MP,1091A06T41,,R13MSK303,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,281.9699,22-04-02 19:57,2200
BB469,UTC1000S,RUNNING,R14MSAF04,2200,096ECMS010,AMS096EC3001B,22-04-02 16:40,22-04-01 18:00,MTI,FBGA-96UEC,5446,04/26/2022 MP,1091A06T21,,R14MSAC06,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,240.3634,22-04-02 16:40,2200
BB470,UTC1000S,RUNNING,R13MSEU03,2200,078U9MS017,AMS078C93001B,22-04-02 16:06,22-04-01 12:06,MTI,FBGA-78U9,6680,04/27/2022 MP,,,R13AWB713,TSOP1-48/48M,MXIC,AAW048TP1043B,1091A08T41,238.6039,22-04-02 16:06,2200
BB471,UTC1000S,RUNNING,R13ABHB01,2200,024MAAB069,AAB024MA6024B,22-04-02 10:26,22-04-02 05:48,WINBOND,MBGA24D6U,6140,04/28/2022 MP,1091A07T21,,R80CML501,TSOP1-48/48M,ENG,ABU048TP2020B,1091A08C21,1327.3796,22-04-02 10:26,2200
BB472,UTC1000S,RUNNING,R14BUAA01,2200,096EABU001,ABU096EA1001A,22-04-02 13:30,22-04-02 01:59,ICSI,FBGA-96LEA,2600,04/29/2022 MP,1091A07C21,,R14BUAF02,FBGA-96LEA,ICSI,ABU096EA1001A,1091A07C21,225.8244,22-04-02 13:30,2200
BB473,UTC1000S,RUNNING,R13MSET01,2200,078U9MS017,AMS078C93001B,22-04-03 01:01,22-04-01 21:11,MTI,FBGA-78U9,6642,04/30/2022 MP,1091A06T21,,R13ABFE02,FBGA96UEL(2),WINBOND,AAB096EL1012A,1091A06T21,238.6039,22-04-03 01:01,2200
BB474,UTC1000S,ENG,,,,ABU165MC4001A,22-03-29 01:29,22-03-29 01:29,,,,04/30/2022 MP,,,R80CMJX01,MBGA165D2U,ENG,ABU165MC4001A,1091A10C41,56.1032,,2200
BB475,UTC1000S,IDLE,,,,AMS096EC1002A,,22-04-01 09:40,,,,,,,R13MSKC05,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,281.9699,,2200
BB476,UTC1000S,PM,R14AWAM01,2200,064MRAW029,AAW064MR1009A,22-04-02 11:59,22-04-02 07:59,MXIC,MBGA64J4U,3518,04/02/2022 MP,,,R14AWAD05,MBGA64J4U,MXIC,AAW064MR1015A,1091A07C41,325.1959,22-04-02 10:10,2200
BB477,UTC1000S,RUNNING,R14MSCY01,2200,096ECMS003,AMS096EC1002A,22-04-02 17:01,22-04-01 21:26,MTI,FBGA-96UEC,5521,04/03/2022 MP,1091A06T41,,R13MSK506,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,281.9699,22-04-02 17:01,2200
BB478,UTC1000S,RUNNING,R14MSCD04,2200,096ECMS003,AMS096EC1002A,22-04-02 17:15,22-04-01 21:23,MTI,FBGA-96UEC,5600,04/04/2022 MP,1091A06T41,,R13MSK405,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,281.9699,22-04-02 17:15,2200
BB479,UTC1000S,RUNNING,R13MSEU06,2200,078U9MS017,AMS078C93001B,22-04-03 00:36,22-04-01 21:16,MTI,FBGA-78U9,6520,04/05/2022 MP,,,R13ABFE01,FBGA96UEL(2),WINBOND,AAB096EL1012A,1091A06T21,238.6039,22-04-03 00:36,2200
BB480,UTC1000S,IDLE,,,,AAB096EF3001A,,22-03-31 11:25,,,,04/06/2022 MP,,,R14ABAD04,FBGA96UEF3-2,WINBOND,AAB096EF3001A,1091A07T21,224.1817,,2200
BB481,UTC1000S,SETUP,R14MSBJ06,2200,096ECMS003,AMS096EC1002A,22-04-02 08:16,22-04-02 07:46,MTI,FBGA-96UEC,5276,04/07/2022 MP,,,R14MSC905,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,281.9699,22-04-02 18:40,2200
BB482,UTC1000S,RUNNING,R13ABEU01,2200,096ELAB043,AAB096EL1012A,22-04-02 14:17,22-04-01 11:15,WINBOND,FBGA96UEL(2),6000,04/08/2022 MP,1091A06T21,,R13ABF201,FBGA96UEL(2),WINBOND,AAB096EL1012A,1091A06T21,221.9003,22-04-02 14:17,2200
BB483,UTC1000S,RUNNING,R14ABBF01,2200,060EMAB004,AAB060EM2001A,22-04-02 18:42,22-04-02 07:04,WINBOND,FBGA60UEM2-1,3585,04/09/2022 MP,1091A07T21,,R13BUG103,VFBGA90B4L,ICSI,ABU090NC8002B,1091A07C21,309.2533,22-04-02 18:42,2200
BB484,UTC1000S,IDLE,,,,AMS078EN1006A,,22-04-01 17:12,,,,04/10/2022 MP,,,R13MSHN04,FBGA-78UEN,MTI,AMS078EN1006A,1091A06T21,208.3434,,2200
BB485,UTC1000S,RUNNING,R14MSCF04,2200,096ECMS010,AMS096EC3001B,22-04-02 21:06,22-04-01 21:58,MTI,FBGA-96UEC,5560,04/11/2022 MP,1091A06T21,,R14MSAB02,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,240.3634,22-04-02 21:06,2200
BB486,UTC1000S,RUNNING,R14MSAK06,2200,096ECMS010,AMS096EC3001B,22-04-02 12:26,22-04-01 13:08,MTI,FBGA-96UEC,5600,04/12/2022 MP,1091A06T21,,R14MSAD08,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,240.3634,22-04-02 12:26,2200
BB487,UTC1000S,RUNNING,R14ABDJ02,2200,096ELAB016,AAB096EL1003A,22-04-03 03:08,22-04-02 02:36,WINBOND,FBGA96UEL(2),5960,04/13/2022 MP,1091A07T21,4,R14ABA301,FBGA96UEL(2),WINBOND,AAB096EL1003A,1091A07T21,243.0216,22-04-03 03:08,2200
BB488,UTC1000S,IDLE,,,,AAB096EL1012A,,22-04-02 03:53,,,,04/14/2022 MP,,,R13ABFI01,FBGA96UEL(2),WINBOND,AAB096EL1012A,1091A06T21,221.9003,,2200
