bom_id,ver,reg_date,item,oper,part_id,qty,tole,reason,supp,remark,
	X2132375  ,	 A,	2021/7/19 上午 12:00:00,	7,	2070,	SUBMATWNV486             ,	2000.000,	0.800,	一次上2顆 ,	          ,	Die1-2_12 300um;F76004;30-M0NA00P025    ,
	X2132375  ,	 A,	2021/7/19 上午 12:00:00,	3,	2070,	1071F76004               ,	1.976,	14.000,	0.988*2   ,	          ,	Die1-2_12 300um;B47R                    ,
	IA000038  ,	 C,	2018/5/21 上午 12:00:00,	1,	2021,	1071F28502               ,	0.059,	14.000,	,	          ,	                                        ,
	IA000038  ,	 C,	2018/5/21 上午 12:00:00,	2,	3720,	1011CA255A               ,	0.016,	0.800,	,	          ,	,
	IA000065  ,	 A,	2018/6/5 上午 12:00:00,	1,	3720,	1011CA270A               ,	0.016,	0.800,	,	          ,	                                        ,
	IA000122  ,	 B,	2020/9/1 上午 12:00:00,	1,	3720,	1011CA332A               ,	0.008,	0.800,	,	          ,	                                        ,
	IA000041  ,	 A,	2017/11/2 上午 12:00:00,	1,	3720,	1011CA243A               ,	0.016,	0.800,	,	          ,	8mm pitch/ 500m                         ,
	IA000016  ,	 B,	2017/9/18 上午 12:00:00,	1,	3720,	1011CA202B               ,	0.016,	0.800,	,	          ,	20170914001 PJ改用量                    ,
	6A008192  ,	 B,	2021/3/2 上午 12:00:00,	1,	2052,	1221C20040               ,	6000.000,	10.000,	          ,	          ,	,
	6A008192  ,	 B,	2021/3/2 上午 12:00:00,	2,	2070,	121101916A               ,	1000.000,	0.900,	0.170     ,	          ,	,
	6A008192  ,	 B,	2021/3/2 上午 12:00:00,	3,	2434,	1011TR727A               ,	9.167,	0.600,	          ,	          ,	,
	6A008192  ,	 B,	2021/3/2 上午 12:00:00,	4,	2070,	1071F350L1               ,	0.040,	14.000,	          ,	          ,	,
	6A008192  ,	 B,	2021/3/2 上午 12:00:00,	5,	2130,	1071F76001               ,	1.008,	14.000,	          ,	          ,	2/25 21 改DAF                           ,
	6A008192  ,	 B,	2021/3/2 上午 12:00:00,	6,	2200,	1091A06C41               ,	78.844,	0.150,	96        ,	          ,	,
	6A008192  ,	 B,	2021/3/2 上午 12:00:00,	7,	2300,	1081E770A1               ,	0.297,	4.000,	          ,	          ,	                                        ,
	6A008192  ,	 B,	2021/3/2 上午 12:00:00,	8,	2052,	1101T70525               ,	8.680,	5.000,	          ,	          ,	,
	6A008192  ,	 B,	2021/3/2 上午 12:00:00,	9,	2070,	SUBMATWNV419             ,	1000.000,	0.800,	,	          ,	(Controlle- AM2703ENLT): 厚度200 um     ,
	6A008192  ,	 B,	2021/3/2 上午 12:00:00,	10,	2130,	SUBMATWNV196             ,	1000.000,	0.800,	,	          ,	Flash- BICS4 256Gb:SDP                  ,
	6A008192  ,	 B,	2021/3/2 上午 12:00:00,	11,	2052,	SUBMATSNV297             ,	1000.000,	0.800,	,	          ,	ANV0086A1070A                           ,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	1,	2052,	1221C20040               ,	6000.000,	10.000,	          ,	          ,	,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	2,	2070,	121101916A               ,	1000.000,	0.900,	0.170     ,	          ,	,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	3,	2434,	1011TR727A               ,	9.167,	0.600,	          ,	          ,	,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	4,	2070,	1071F350L1               ,	0.040,	14.000,	          ,	          ,	,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	5,	2130,	1071F76001               ,	1.008,	14.000,	          ,	          ,	2/25改DAF                               ,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	6,	2200,	1091A06C41               ,	78.844,	0.150,	96        ,	          ,	,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	7,	2300,	1081E770A1               ,	0.297,	4.000,	          ,	          ,	                                        ,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	8,	2052,	1101T70525               ,	8.680,	5.000,	          ,	          ,	,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	9,	2070,	SUBMATWNV419             ,	1000.000,	0.800,	,	          ,	Controlle-AM2703ENLT200um               ,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	10,	2130,	SUBMATWNV199             ,	1000.000,	0.800,	,	          ,	Flash-BICS4;256Gb:SDP;1層DIE;250um      ,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	11,	2052,	SUBMATSNV295             ,	1000.000,	0.800,	,	          ,	ANV0086A1065A                           ,
	IA000017  ,	 A,	2018/9/14 上午 12:00:00,	1,	3720,	1011CA203B               ,	0.016,	0.800,	,	          ,	1010CA00000227A變更長度                 ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	1,	2052,	1221C20016               ,	15000.000,	10.000,	          ,	          ,	,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	2,	2052,	1221I20012               ,	1000.000,	10.000,	          ,	          ,	,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	3,	2052,	1221I20011               ,	1000.000,	10.000,	          ,	          ,	,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	4,	2052,	1221R20064               ,	1000.000,	10.000,	          ,	          ,	,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	5,	2052,	1221R20005               ,	1000.000,	10.000,	          ,	          ,	,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	6,	2070,	121102141A               ,	1000.000,	0.900,	0.200     ,	          ,	OSP SBT                                 ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	7,	2430,	1011TR755A               ,	7.237,	0.600,	          ,	          ,	,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	8,	2070,	1071F76004               ,	0.824,	14.000,	          ,	          ,	2dies;DA1                               ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	9,	2130,	1071F76004               ,	0.438,	14.000,	          ,	          ,	1die;DA2                                ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	10,	3130,	1071F310JB               ,	1.412,	14.000,	          ,	          ,	1dies;DA3                               ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	11,	3330,	1071FHR900               ,	4.236,	14.000,	          ,	          ,	3dies;DA4                               ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	12,	4130,	1071F76001               ,	1.412,	14.000,	          ,	          ,	1die;DA5                                ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	13,	4330,	1071FHR900               ,	4.236,	14.000,	          ,	          ,	3dies;DA6                               ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	14,	4530,	1071F76001               ,	1.412,	14.000,	          ,	          ,	1die;DA7                                ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	15,	4730,	1071FHR900               ,	4.236,	14.000,	          ,	          ,	3dies;DA8                               ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	16,	5130,	1071F76001               ,	1.412,	14.000,	          ,	          ,	1die;DA9                                ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	17,	5330,	1071FHR900               ,	4.236,	14.000,	          ,	          ,	3dies;DA10                              ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	18,	2200,	1091A07C41               ,	241.782,	0.150,	258       ,	          ,	,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	19,	3200,	1091A07C41               ,	139.244,	0.150,	186       ,	          ,	,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	20,	3400,	1091A07C41               ,	137.844,	0.150,	186       ,	          ,	,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	21,	3600,	1091A07C41               ,	139.824,	0.150,	186       ,	          ,	,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	22,	4200,	1091A07C41               ,	140.866,	0.150,	189       ,	          ,	,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	23,	2300,	1081GE100C               ,	0.472,	4.000,	          ,	          ,	,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	24,	2052,	1101T70525               ,	8.680,	3.500,	          ,	          ,	,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	25,	2052,	1221R20006               ,	1000.000,	10.000,	,	          ,	,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	26,	2052,	SUBMATSNV318             ,	1000.000,	0.800,	,	          ,	ANV345XTA010A                           ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	27,	2410,	1101L75830               ,	345.000,	3.000,	,	          ,	,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	28,	2070,	SUBMATWCM510             ,	2000.000,	0.800,	,	          ,	2dies;DA1;(CHIP1~2):12402030DUMMY(65um) ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	29,	2130,	SUBMATWNV261             ,	1000.000,	0.800,	,	          ,	1die;DA2;(CHIP3)20-W5019CC102;65um      ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	30,	3130,	SUBMATWNV444             ,	1000.000,	0.800,	,	          ,	1dies;DA3;(CHIP4):30-T0NA00P078;65um    ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	31,	3330,	SUBMATWNV446             ,	3000.000,	0.800,	,	          ,	3dies;DA4;(CHIP5~7):30-T0NA00P078;40um  ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	32,	4130,	SUBMATWNV445             ,	1000.000,	0.800,	,	          ,	1dies;DA5;(CHIP8):30-T0NA00P078;65um    ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	33,	4330,	SUBMATWNV446             ,	3000.000,	0.800,	,	          ,	3dies;DA6(CHIP9~11):30-T0NA00P078;40um  ,
	XT345068  ,	 A,	2021/3/31 上午 12:00:00,	34,	4530,	SUBMATWNV445             ,	1000.000,	0.800,	,	          ,	1die;DA7;(CHIP12):30-T0NA00P078;65um    ,
