route,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_hold,wlot_mvin_perfmd,bd_id,urgent_code,sub_lot,wb_location,automotive,package_id,CR,super_hot_run_code,last_WB_entity,wip_outplan_time
BGA185,R03YZAA02,ZJP,FBGA-96UEI,096EIYZ001,2973,0,2200,Y,Y,AYZ096EI1002A,,9,,,P3T2GF40CBF-Z{YZ},76.78,N,DA,
BGA185,R03YZAI04,ZJP,FBGA-96UEI,096EIYZ001,3000,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},76.14,N,DA,
BGA185,R03YZAI08,ZJP,FBGA-96UEI,096EIYZ001,2980,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},76.14,N,DA,
BGA185,R03YZAI12,ZJP,FBGA-96UEI,096EIYZ001,2945,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},76.14,N,DA,
BGA185,R03YZAI16,ZJP,FBGA-96UEI,096EIYZ001,2940,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},76.14,N,DA,
BGA185,R03YZAJ03,ZJP,FBGA-96UEI,096EIYZ001,2980,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},75.98,N,DA,
BGA185,R03YZAJ07,ZJP,FBGA-96UEI,096EIYZ001,2916,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},75.98,N,DA,
BGA185,R03YZAJ11,ZJP,FBGA-96UEI,096EIYZ001,2824,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},75.98,N,DA,
BGA185,R03YZAJ15,ZJP,FBGA-96UEI,096EIYZ001,2922,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},75.98,N,DA,
BGA185,R09YZA901,ZJP,FBGA-84UC(2),084UCYZ003,5544,0,2200,N,Y,AYZ084CC2003A,,6,,,P3R56E40ABF-Z{YZ},73.89999999999999,N,DA,2022-03-01 22:15:41
BGA185,R03YZA701,ZJP,FBGA-96UEI,096EIYZ001,2960,0,2200,Y,Y,AYZ096EI1002A,4,17,,,P3T2GF40CBF-Z{YZ},75.82,N,DA,
BGA185,R03YZA705,ZJP,FBGA-96UEI,096EIYZ001,2979,0,2200,Y,Y,AYZ096EI1002A,4,17,,,P3T2GF40CBF-Z{YZ},75.82,N,DA,
BGA185,R03YZA714,ZJP,FBGA-96UEI,096EIYZ001,2908,0,2200,Y,Y,AYZ096EI1002A,4,17,,,P3T2GF40CBF-Z{YZ},75.82,N,DA,
BGA185,R03YZA907,ZJP,FBGA-96UEI,096EIYZ001,2900,0,2200,Y,Y,AYZ096EI1002A,4,8,,,P3T2GF40CBF-Z{YZ},76.78,N,DA,
BGA185,R03YZAA03,ZJP,FBGA-96UEI,096EIYZ001,2929,0,2200,Y,Y,AYZ096EI1002A,,9,,,P3T2GF40CBF-Z{YZ},76.78,N,DA,
BGA185,R03YZAA07,ZJP,FBGA-96UEI,096EIYZ001,2860,0,2200,Y,Y,AYZ096EI1002A,,9,,,P3T2GF40CBF-Z{YZ},76.78,N,DA,
BGA185,R03YZAI01,ZJP,FBGA-96UEI,096EIYZ001,2964,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},76.14,N,DA,
BGA185,R03YZAI05,ZJP,FBGA-96UEI,096EIYZ001,3000,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},76.14,N,DA,
BGA185,R03YZAI09,ZJP,FBGA-96UEI,096EIYZ001,2940,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},76.14,N,DA,
BGA185,R03YZAI13,ZJP,FBGA-96UEI,096EIYZ001,2860,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},76.14,N,DA,
