ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,Unnamed: 31,G.UPH,N.UPH,wip_outplan_time
BB903,0,MAXUM,RUNNING,R09YZAG17,,2200,066TSYZ002,P3S12D40GTP-Z{YZ-Ag},AYZ066TS1001A,2880,66285,22-03-01 20:18,22-03-02 19:43,ZJP,TSOP2-66CME,220294000,,215.5500,,3000M,TB-B7,03/10/2022 MP,2200,1091G08PA4,,R09YZAG15,TSOP2-66CME,ZJP,AYZ066TS1001A,1091G08PA4,,215.55,191.4623,22-03-02 19:43
BB904,0,MAXUM,RUNNING,R08ASCY06,,2200,162KEAS010,FM6BD1G1GMBM1X{GBFFA},AAS162KE1008A,3330,28026,22-03-01 07:44,22-03-02 20:00,EliteMT,STBGA162B4U,M20BH.G,,91.8472,,3000M,TB-B7,03/11/2022 MP,2200,1091G08PA4,,R08ASCW06,STBGA162B4U,EliteMT,AAS162KE1008A,1091G08PA4,,91.8472,81.5833,22-03-02 20:00
BB905,0,MAXUM,RUNNING,R08ASCZ05,,2200,162KEAS010,FM6BD1G1GMBM1X{GBFFA},AAS162KE1008A,3307,23308,22-03-01 22:40,22-03-03 10:41,EliteMT,STBGA162B4U,M20BH.H,,91.8472,,3000M,TB-B7,03/12/2022 MP,2200,1091G08PA4,,R08ASCY09,STBGA162B4U,EliteMT,AAS162KE1008A,1091G08PA4,,91.8472,81.5833,22-03-03 10:41
BB906,0,MAXUM,RUNNING,R09AWBJ01,,2200,008YMAW020,6755R-087S10ITF9SS,AAW008YM2004A,16000,296593,22-03-01 21:27,22-03-02 09:51,MXIC,DFN-08YM2D,5L455600,,1290.2937,,3000M,TB-B7,03/13/2022 MP,2200,1091A07T41,,R09AWAQ20,DFN-08YM2D,MXIC,AAW008YM2004A,1091A07T41,,1290.2937,1146.1034,22-03-02 09:51
BB907,0,MAXUM,WAIT-SETUP,,,,,,AAS096EL1002A,,,22-03-01 23:30,,,,,CSC,,,3000M,TB-B7,03/14/2022 MP,2200,,,R09MSGS01,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,,152.4326,135.3982,
BB908,0,MAXUM,RUNNING,R09ASD104,,2200,0484AAS001,F59D1G81MBM1AG{GBNFA},AAS0484A1001A,17400,72778,22-03-02 00:21,22-03-03 01:20,EliteMT,VFBGA48KEU,P2AFQ.01,,696.5623,,3000M,TB-B7,03/15/2022 MP,2200,1091G08PA4,,R09ASD102,VFBGA48KEU,EliteMT,AAS0484A1001A,1091G08PA4,,696.5623,618.7214,22-03-03 01:20
BB909,0,MAXUM,RUNNING,R08ASCZ04,,2200,162KEAS010,FM6BD1G1GMBM1X{GBFFA},AAS162KE1008A,3240,23308,22-03-01 21:07,22-03-03 08:24,EliteMT,STBGA162B4U,M20BH.H,,91.8472,,3000M,TB-B7,03/16/2022 MP,2200,1091G08PA4,,R08ASCX02,STBGA162B4U,EliteMT,AAS162KE1008A,1091G08PA4,,91.8472,81.5833,22-03-03 08:24
BB910,0,MAXUM,RUNNING,R08ASCZ03,,2200,162KEAS010,FM6BD1G1GMBM1X{GBFFA},AAS162KE1008A,3240,23308,22-03-01 22:29,22-03-03 09:45,EliteMT,STBGA162B4U,M20BH.H,,91.8472,,3000M,TB-B7,03/17/2022 MP,2200,1091G08PA4,,R08ASD101,STBGA162B4U,EliteMT,AAS162KE1008A,1091G08PA4,,91.8472,81.5833,22-03-03 09:45
BB911,0,MAXUM,RUNNING,R09ASDD04,,2200,096ELAS043,ZWM15T4G16256AC1PG{GVNF2},AAS096EL1009B,2942,24897,22-03-01 13:39,22-03-02 09:47,EliteMT,FBGA-96UEL,V208X.01,,146.1810,,3000M,TB-B7,03/18/2022 MP,2200,,,R09AWBC06,DFN-08Y62D,MXIC,AAW008Y62014A,1091A07T41,,146.181,129.8453,
BB912,0,MAXUM,RUNNING,R09AWBJ19,,2200,008YMAW020,6755R-087S10ITF9SS,AAW008YM2004A,8593,296593,22-03-02 04:05,22-03-02 10:47,MXIC,DFN-08YM2D,5L455600,,1290.2937,,3000M,TB-B7,03/19/2022 MP,2200,1091A07T41,,R09AWBJ05,DFN-08YM2D,MXIC,AAW008YM2004A,1091A07T41,,1290.2937,1146.1034,22-03-02 10:47
BB913,0,MAXUM,RUNNING,R09ASAQ18,,2200,096ELAS005,M15F1G1664AC1AG{GVNX2-13x,AAS096EL1001A,3325,53777,22-03-02 01:52,22-03-02 22:05,EliteMT,FBGA-96UEL-3,P28TN.02,,164.3310,,3000M,TB-B7,03/20/2022 MP,2200,1091G08PA1,,R09ASAK08,FBGA-96UEL-3,EliteMT,AAS096EL1001A,1091G08PA1,,164.331,145.967,22-03-02 22:05
