¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
536,	uSD08GEV    ,	AEU0086A1001A       ,	0086AEU004               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
537,	DFN-08YB2G  ,	AAB008YB2007A       ,	008YBAB016               ,	0.00,	0.00,	84.82,	0.00,	0.00,	0.00,
538,	DFN-08YQ2A  ,	AAB008YQ2003A       ,	008YQAB021               ,	34.62,	0.00,	0.00,	0.00,	0.00,	0.00,
539,	STDFN-08YQ2A,	AAB008YQ2004A       ,	008YQAB031               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
540,	STDFN-08YQ2A,	AAB008YQ2026A       ,	008YQAB046               ,	3.11,	2.16,	20.63,	0.00,	0.00,	0.00,
541,	DFN-08YQ2A  ,	AAB008YQ2022A       ,	008YQAB072               ,	0.00,	0.00,	33.90,	0.00,	0.00,	5.60,
542,	WLCSP-WAFER ,	ENG                 ,	000IABW028               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
543,	WLCSP       ,	ENG                 ,	000IABW031               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
544,	WLCSP       ,	                    ,	000IABW058               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
545,	WLCSP       ,	                    ,	000IABW108               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
546,	WLCSP       ,	                    ,	000IABW115               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
547,	QFN-36AB1   ,	ABW036AB1004A       ,	036ABBW009               ,	99.69,	0.00,	0.00,	0.00,	0.00,	0.00,
548,	MBGA24J3U   ,	AQW024MAA015A       ,	024MAQW018               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
549,	MBGA90J3U   ,	AQW090MV1010B       ,	090MVQW028               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
550,	MAT         ,	,	0008WPRT005              ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
551,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI043               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
552,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI048               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
553,	FCDFN-08Y72D,	ANI008Y71001C       ,	008Y7NI035               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
554,	FCDFN-08YZ2A,	ANI008YZ1001D       ,	008YZNI036               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
555,	FCDFN-08YZ2A,	ANI008YZ1001D       ,	008YZNI039               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
556,	QFN-10YK2A  ,	ANI010YK3005A       ,	010YKNI052               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
557,	DFN-12Y12A  ,	ANI012Y11002C       ,	012Y1NI061               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
558,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI003               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
559,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI124               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
560,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI159               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
561,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI167               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
562,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI206               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
