¦C¼Æ,bd_id,oper,model,remark,trans_date,trans_time,
346,	AAB008YQ2002A       ,	2200,	MAXUM       ,	AAB008YQ2002A-2200-Criteria             ,	20220214,	95059,
347,	AAS008FG1003A       ,	2200,	MAXUM       ,	AAS008FG1003A-2200-Criteria             ,	20220214,	95101,
348,	ABU008YD2001A       ,	2200,	MAXUM-PLUS  ,	ABU008YD2001A-2200-Criteria             ,	20220214,	102216,
349,	ABU008YD2001A       ,	2200,	MAXUM       ,	ABU008YD2001A-2200-Criteria             ,	20220214,	102216,
350,	ABU008YD2001A       ,	2200,	ICONN       ,	ABU008YD2001A-2200-Criteria             ,	20220214,	102216,
351,	AAW008Y62016A       ,	2200,	MAXUM-PLUS  ,	20220218-A-AAW008Y62016A-2200-Criteria  ,	20220218,	150851,
352,	AAW008Y62016A       ,	2200,	MAXUM       ,	20220218-A-AAW008Y62016A-2200-Criteria  ,	20220218,	150851,
353,	AAW008Y62016A       ,	2200,	ICONN-PLUS  ,	20220218-A-AAW008Y62016A-2200-Criteria  ,	20220218,	150851,
354,	AAW008Y62016A       ,	2200,	RAPID       ,	20220218-A-AAW008Y62016A-2200-Criteria  ,	20220218,	150851,
355,	AAB063XM5003A       ,	2200,	UTC2000     ,	20220216-B-AAB063XM5003A-2200-Criteria  ,	20220216,	191120,
356,	AAB063XM5003A       ,	3200,	UTC2000     ,	20220216-B-AAB063XM5003A-3200-Criteria  ,	20220216,	191120,
357,	ANI020YU1005C       ,	2200,	ICONN       ,	20220215-B-ANI020YU1005C-2200-Criteria  ,	20220215,	170446,
358,	ANI020YU1005C       ,	2200,	ICONN-PLUS  ,	20220215-B-ANI020YU1005C-2200-Criteria  ,	20220215,	170446,
359,	ANI020YU1005C       ,	2200,	RAPID       ,	20220215-B-ANI020YU1005C-2200-Criteria  ,	20220215,	170446,
360,	OK048TV1005B        ,	2200,	UTC1000S    ,	OK048TV1005B-2200-Criteria              ,	20220218,	150952,
361,	ABW048LF1018A       ,	2200,	UTC1000S    ,	ABW048LF1018A-2200-Criteria             ,	20220214,	174100,
362,	ABU024MAA008A       ,	2200,	UTC1000S    ,	20220214-A-ABU024MAA008A-2200-Criteria  ,	20220214,	182042,
363,	AAS066TS1004B       ,	2200,	MAXUM-PLUS  ,	AAS066TS1004B-2200-Criteria             ,	20220214,	215355,
364,	AAS066TS1004B       ,	2200,	MAXUM       ,	AAS066TS1004B-2200-Criteria             ,	20220214,	215355,
365,	AAS066TS1004B       ,	2200,	ICONN       ,	AAS066TS1004B-2200-Criteria             ,	20220214,	215355,
366,	ABU084CC2004B       ,	2200,	UTC1000S    ,	20220218-A-ABU084CC2004B-2200-Criteria  ,	20220218,	63718,
367,	ABU084CC2004B       ,	2200,	UTC2000     ,	20220218-A-ABU084CC2004B-2200-Criteria  ,	20220218,	63718,
