Location,Entity,
	TB-B1                    ,	BBA02 ,
	TB-B1                    ,	BBA03 ,
	TB-B1                    ,	BBA04 ,
	TB-B1                    ,	BBA05 ,
	TB-B1                    ,	BBA06 ,
	TB-B1                    ,	BBA07 ,
	TB-B1                    ,	BBA08 ,
	TB-B1                    ,	BBA09 ,
	TB-B10                   ,	BBA10 ,
	TB-B1                    ,	BBA11 ,
	TB-B1                    ,	BBA12 ,
	TB-B1                    ,	BBA13 ,
	TB-B1                    ,	BBA14 ,
	TB-B1                    ,	BBA15 ,
	TB-B1                    ,	BBA16 ,
	TB-B1                    ,	BBA17 ,
	TB-B1                    ,	BBA18 ,
	TB-B1                    ,	BBA19 ,
	TB-B10                   ,	BBA20 ,
	TB-B10                   ,	BBA22 ,
	TB-B10                   ,	BBA23 ,
	TB-B10                   ,	BBA24 ,
	TB-B10                   ,	BBA25 ,
	TB-B11                   ,	BBA27 ,
	TB-B11                   ,	BBA28 ,
	TB-B11                   ,	BBA29 ,
	TB-B11                   ,	BBA30 ,
	TB-B11                   ,	BBA31 ,
	TA-A12                   ,	BBB01 ,
	TA-A12                   ,	BBB02 ,
	TA-A12                   ,	BBB03 ,
	TA-A12                   ,	BBB04 ,
	TA-A12                   ,	BBB05 ,
	TB-B11                   ,	BBA26 ,
	TA-A12                   ,	BBB06 ,
	TA-A17                   ,	BBB07 ,
	TA-A17                   ,	BBB08 ,
	TA-A17                   ,	BBB09 ,
	TA-A17                   ,	BBB10 ,
	TA-A19                   ,	BBB11 ,
	TA-A9                    ,	BBB12 ,
	TA-A20                   ,	BBB13 ,
	TA-A10                   ,	BBB14 ,
	TA-A21                   ,	BBB15 ,
	TA-A21                   ,	BBB16 ,
	TA-A21                   ,	BBB17 ,
	TA-A21                   ,	BBB18 ,
	TA-A21                   ,	BBB19 ,
	TA-A21                   ,	BBB20 ,
	TA-A21                   ,	BBB21 ,
	TA-A21                   ,	BBB22 ,
	TA-A22                   ,	BBB23 ,
	TA-A22                   ,	BBB24 ,
	TA-A22                   ,	BBB25 ,
	TA-A22                   ,	BBB26 ,
	TA-A22                   ,	BBB27 ,
	TA-A22                   ,	BBB28 ,
	TA-A19                   ,	BBB29 ,
	TA-A10                   ,	BBB32 ,
	TA-A10                   ,	BBB33 ,
	TA-A10                   ,	BBB34 ,
	TA-A10                   ,	BBB35 ,
	TA-A10                   ,	BBB36 ,
	TB-B18                   ,	BBC01 ,
	TB-B18                   ,	BBC02 ,
	TB-B18                   ,	BBC03 ,
	TB-B18                   ,	BBC04 ,
	TB-B18                   ,	BBC05 ,
	TB-B18                   ,	BBC06 ,
	TB-B18                   ,	BBC07 ,
	TB-B18                   ,	BBC08 ,
	TB-B18                   ,	BBC09 ,
	TB-B18                   ,	BBC10 ,
	TB-B18                   ,	BBC11 ,
	TA-A10                   ,	BBB30 ,
	TA-A10                   ,	BBB31 ,
	TB-B18                   ,	BBC12 ,
	TB-B18                   ,	BBC14 ,
	TB-B18                   ,	BBC15 ,
	TB-B18                   ,	BBC16 ,
	TB-B18                   ,	BBC17 ,
	TB-B18                   ,	BBC18 ,
	TB-B18                   ,	BBC19 ,
	TB-B18                   ,	BBC20 ,
	TB-B18                   ,	BBC21 ,
	TB-B18                   ,	BBC22 ,
	TB-B18                   ,	BBC23 ,
	TB-B18                   ,	BBC24 ,
	TB-B18                   ,	BBC25 ,
	TB-B18                   ,	BBC26 ,
	TB-B18                   ,	BBC27 ,
	TB-B18                   ,	BBC28 ,
	TB-B18                   ,	BBC29 ,
	TB-B18                   ,	BBC30 ,
	TB-B18                   ,	BBC31 ,
	TB-B18                   ,	BBC32 ,
	TB-B18                   ,	BBC33 ,
	TB-B18                   ,	BBC34 ,
	TB-B18                   ,	BBC35 ,
	TB-B18                   ,	BBC36 ,
	TB-B18                   ,	BBC37 ,
	TB-B18                   ,	BBC38 ,
	TB-B18                   ,	BBC39 ,
	TB-B18                   ,	BBC40 ,
	TB-B18                   ,	BBC41 ,
	TB-B18                   ,	BBC42 ,
	TB-B18                   ,	BBC43 ,
	TB-B18                   ,	BBC44 ,
	TB-B18                   ,	BBC45 ,
	TB-B18                   ,	BBC46 ,
	TB-B18                   ,	BBC47 ,
	TB-B18                   ,	BBC48 ,
	TB-B18                   ,	BBC49 ,
	TB-B18                   ,	BBC51 ,
	TB-B18                   ,	BBC52 ,
	TB-B18                   ,	BBC13 ,
	TB-B18                   ,	BBC50 ,
	TB-B18                   ,	BBC53 ,
	TB-B18                   ,	BBC54 ,
	TB-B18                   ,	BBC55 ,
	TB-B18                   ,	BBC56 ,
	TB-B18                   ,	BBC57 ,
	TB-B18                   ,	BBC58 ,
	TB-B18                   ,	BBC59 ,
	TB-B18                   ,	BBC60 ,
	TB-B9                    ,	BBD01 ,
	TB-B9                    ,	BBD02 ,
	TB-B9                    ,	BBD03 ,
	TB-B14                   ,	BBD09 ,
	TB-B14                   ,	BBD10 ,
	TB-B14                   ,	BBD11 ,
	TB-B14                   ,	BBD12 ,
