ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER,ent_weight
BB863,MAXUM,RUNNING,R22ABC107,2200.0,008YDAB031,AAB008YD4004A,22-06-06 15:22,22-06-05 16:00,WINBOND,STDFN08YD4AW,9120.0,06/28/2022 SP,1091A07T21,,R22ABBW04,STDFN08YD4AW,WINBOND,AAB008YD4004A,1091A07T21,390.2356,22-06-06 15:22,2200,42728.8
BB864,MAXUM,RUNNING,R22ABC103,2200.0,008YDAB031,AAB008YD4004A,22-06-06 10:23,22-06-05 11:01,WINBOND,STDFN08YD4AW,9120.0,06/29/2022 SP,1091A07T21,,R22ABBW03,STDFN08YD4AW,WINBOND,AAB008YD4004A,1091A07T21,390.2356,22-06-06 10:23,2200,42728.8
BB865,MAXUM,IDLE,,,,AAS084CC2023A,,22-06-05 13:27,,,,06/30/2022 SP,,,R20ASBF05,FBGA-84UC,EliteMT,AAS084CC2023A,1091G08PA4,192.9814,,2200,0.0
BB866,MAXUM,IDLE,,,,ATE066TS1001A,,22-06-04 08:04,,,,,,,R21TEB905,TSOP2-66CME,ZCN,ATE066TS1001A,1091G08PA4,215.55,,2200,0.0
BB867,MAXUM,IDLE,,,,AAS008DR1029A,,22-06-05 16:44,,,,,,,R22ASBF04,VTLGA08J4U,EliteMT,AAS008DR1029A,1091G08PA4,1050.8712,,2200,0.0
BB868,MAXUM,RUNNING,R23ABH911,2200.0,008YMAB062,AAB008YM2023A,22-06-06 12:41,22-06-06 01:40,WINBOND,DFN-08YM2D,16000.0,,1091A07T21,,R22VGKG52,DFN-08Y62D,ISSI-VG,ABU008Y62002A,1091A07C41,1451.5763,22-06-06 12:41,2200,44104.54945054945
BB869,MAXUM,IDLE,,,,ATE066TS1001A,,22-06-04 14:24,,,,,,,R21TEBD10,TSOP2-66CME,ZCN,ATE066TS1001A,1091G08PA4,215.55,,2200,0.0
BB870,MAXUM,IDLE,,,,ATE066TS1001A,,22-06-05 11:32,,,,,,,R21TEB907,TSOP2-66CME,ZCN,ATE066TS1001A,1091G08PA4,215.55,,2200,0.0
BB871,MAXUM,PM,,,,ATE066TS1001A,22-06-06 11:33,22-06-06 07:33,,,,06/06/2022 MP,,,R21TEB902,TSOP2-66CME,ZCN,ATE066TS1001A,1091G08PA4,215.55,,2200,0.0
BB872,MAXUM,RUNNING,R22ABC106,2200.0,008YDAB031,AAB008YD4004A,22-06-06 13:03,22-06-05 13:41,WINBOND,STDFN08YD4AW,9120.0,06/07/2022 MP,1091A07T21,,R22ABBW06,STDFN08YD4AW,WINBOND,AAB008YD4004A,1091A07T21,390.2356,22-06-06 13:03,2200,42728.8
BB873,MAXUM,IDLE,,,,AAS096EL1007A,,22-06-05 17:36,,,,06/08/2022 MP,,,R23ASA704,FBGA-96UEL,EliteMT,AAS096EL1007A,1091G08PA4,154.46,,2200,0.0
BB874,MAXUM,IDLE,,,,AAS084CC2023A,,22-06-05 13:54,,,,06/09/2022 MP,,,R20ASBE10,FBGA-84UC,EliteMT,AAS084CC2023A,1091G08PA4,192.9814,,2200,0.0
BB875,MAXUM,IDLE,,,,AAS084CC2023A,,22-06-04 23:56,,,,06/10/2022 MP,,,R20ASBE04,FBGA-84UC,EliteMT,AAS084CC2023A,1091G08PA4,192.9814,,2200,0.0
BB876,MAXUM,IDLE,,,,AAS084CC2023A,,22-06-05 03:53,,,,06/11/2022 MP,,,R20ASBE11,FBGA-84UC,EliteMT,AAS084CC2023A,1091G08PA4,192.9814,,2200,0.0
BB877,MAXUM,IDLE,,,,AAS084CC2023A,,22-06-05 01:41,,,,06/12/2022 MP,,,R20ASBE10,FBGA-84UC,EliteMT,AAS084CC2023A,1091G08PA4,192.9814,,2200,0.0
BB878,MAXUM,IDLE,,,,ATE066TS1001A,,22-06-05 01:48,,,,06/13/2022 MP,,,R21TEBE03,TSOP2-66CME,ZCN,ATE066TS1001A,1091G08PA4,215.55,,2200,0.0
BB879,MAXUM,IDLE,,,,AAS084CC2023A,,22-06-04 23:53,,,,06/14/2022 MP,,,R20ASBE05,FBGA-84UC,EliteMT,AAS084CC2023A,1091G08PA4,192.9814,,2200,0.0
BB880,MAXUM,RUNNING,R20ASC802,2200.0,096ELAS043,AAS096EL1009B,22-06-06 14:52,22-06-05 18:26,EliteMT,FBGA-96UEL,2987.0,06/15/2022 MP,,,R20ASC702,FBGA-96UEL,EliteMT,AAS096EL1009B,1091G08PA4,146.181,22-06-06 14:52,2200,6612.85294117647
BB881,MAXUM,SETUP,,,,AMS096EC1002A,22-06-06 09:01,22-06-06 07:37,,,,06/16/2022 MP,,,R22BUAF01,MBGA168A4V,ICSI,ABU168RM1003A,1091A09C21,315.8637,,2200,98554.18095238095
BB882,MAXUM,IDLE,,,,AAB008YQ3028A,,22-06-06 05:42,,,,06/17/2022 MP,,,R23ABFI01,DFN-08YQ3AW,WINBOND,AAB008YQ3028A,1091A07T21,1044.289,,2200,65895.56190476191
BB883,MAXUM,IDLE,,,,AAB008YQ3028A,,22-06-06 05:35,,,,06/18/2022 MP,,,R23ABFI02,DFN-08YQ3AW,WINBOND,AAB008YQ3028A,1091A07T21,1044.289,,2200,65895.56190476191
BB884,MAXUM,IDLE,,,,AAB008YQ3001A,,22-06-04 03:45,,,,06/19/2022 MP,,,R22ABBP05,DFN-08YQ3AW,WINBOND,AAB008YQ3001A,1091A07T21,1017.7192,,2200,0.0
BB885,MAXUM,RUNNING,R23MSM705,2200.0,096ECMS003,AMS096EC1002A,22-06-06 14:46,22-06-05 21:14,MTI,FBGA-96UEC,5541.0,06/20/2022 MP,1091A06T41,,R22ABGK14,DFN-08YM2D,WINBOND,AAB008YM2018A,1091A07T21,315.8637,22-06-06 14:46,2200,98554.18095238095
BB886,MAXUM,RUNNING,R23MSL507,2200.0,096ECMS003,AMS096EC1002A,22-06-06 13:03,22-06-05 19:20,MTI,FBGA-96UEC,5600.0,06/21/2022 MP,1091A06T41,,R20ASBF09,FBGA-84UC,EliteMT,AAS084CC2023A,1091G08PA4,315.8637,22-06-06 13:03,2200,98554.18095238095
