ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,Unnamed: 31,G.UPH,N.UPH,wip_outplan_time
BB828,6240,MAXUM,RUNNING,R03ABAF40,,2200,008YBAB016,AAG0648T0/DB/W25Q32JWXGIM,AAB008YB2007A,6240,277136,22-01-14 12:36,22-01-14 17:54,WINBOND,DFN-08YB2G,613837000,,1175.9163,,3000M,TB-B3,01/24/2022 MP,2200,1091A07T21,4,R03ABAF36,DFN-08YB2G,WINBOND,AAB008YB2007A,1091A07T21,,1175.9163,1044.5077,2022-01-14 17:54:42
BB831,5600,MAXUM,RUNNING,R02MSH201,,2200,096ECMS003,V89C JT1X16 C753EE{A},AMS096EC1002A,5560,39572,22-01-14 11:50,22-01-15 05:26,MTI,FBGA-96UEC,1005906.006,,315.8637,,3000M,TB-B3,01/27/2022 MP,2200,1091A06T41,,R02MSGV03,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,,315.8637,280.5659,2022-01-15 05:26:25
BB832,0,MAXUM,ENG,,,,,,ABU008YQ2026A,,,22-01-14 07:16,22-01-14 07:16,,,,PE,,,3000M,TB-B3,01/28/2022 MP,2200,,,R02VGAS20,DFN-08YQ2A,ISSI-VG,ABU008YQ2002A,1091A09C41,,1116.5195,991.7484,
BB833,8320,MAXUM,RUNNING,R02VGB805,,2200,008Y6VG011,IS25LP064A-JTLE-TR{rough},ABU008Y62005A,8320,82376,22-01-14 10:50,22-01-15 01:51,ISSI-VG,DFN-08Y62D,P2U345Y2,,553.9670,,3000,TB-B3,01/29/2022 MP,2200,1091A07C21,,R02VGB802,DFN-08Y62D,ISSI-VG,ABU008Y62005A,1091A07C21,,553.967,492.0612,2022-01-15 01:51:42
BB834,0,MAXUM,RUNNING,R02MSCG04,,2200,078EPMS004,Z32D1JC8CMS3712{ZDT-S},AMS078EP1001A,4699,22014,22-01-14 05:34,22-01-15 00:12,MTI,FBGA-78UEP,585865K.00K,,252.5695,,3000M,TB-B3,01/30/2022 MP,2200,1091A06T21,,R02MSAU04,FBGA-78UEP,MTI,AMS078EP1001A,1091A06T21,,218.0035,193.6416,2022-01-15 00:12:05
BB835,2938,MAXUM,QC,R02ASC804,,2200,096ELAS001,M15T1G1664AC1AG{GVNX2-13X,AAS096EL1002A,2940,36709,,,EliteMT,FBGA-96UEL-3,P18WL.01,,152.4326,,1000M,TB-B3,01/31/2022 MP,2200,,,R02ASAZ20,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,,152.4326,135.3982,2022-01-15 03:48:54
BB836,0,MAXUM,RUNNING,R02MSCV04,,2200,078EPMS004,Z32D1JC8CMS3712{ZDT-S},AMS078EP1001A,5330,22985,22-01-13 22:44,22-01-14 19:51,MTI,FBGA-78UEP,583054K.00K,,252.5695,,3000M,TB-B3,,2200,,,R02MSAT01,FBGA-78UEP,MTI,AMS078EP1001A,1091A06T21,,218.0035,193.6416,2022-01-14 19:51:11
BB837,3988,MAXUM,IN-REPAIR,R02ASDW06,,2200,090NCAS001,M12L64322AS2AG{GBBXK},AAS090NC4001A,3920,32255,22-01-14 15:11,22-01-15 10:30:22,EliteMT,VFBGA90K4L,P1BMG.04,E11,150.3938,,3000M,TB-B3,,2200,1091G08PA1,,R02ASDV05,VFBGA90K4L,EliteMT,AAS090NC4001A,1091G08PA1,,150.3938,133.5873,2022-01-15 10:30:22
BB838,0,MAXUM,RUNNING,R02ASD305,,2200,008FGAS014,EN25QH32BB1HM{M68FA}{FT3},AAS008FG1011A,10080,143464,22-01-14 07:10,22-01-14 15:53,EliteMT,SOP-8G,X10T4.18,,1156.8699,,3000,TB-B3,,2200,1091G08PA4,,R02ASD215,SOP-8G,EliteMT,AAS008FG1011A,1091G08PA4,,1156.8699,1027.5897,2022-01-14 15:53:36
BB839,4981,MAXUM,RUNNING,R02MSGX01,,2200,096ECMS003,V89C JT1X16 C753EE{A},AMS096EC1002A,5528,36451,22-01-14 14:47,22-01-15 08:17,MTI,FBGA-96UEC,0994606.006,,315.8637,,3000,TB-B3,,2200,,,R02MSGV07,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,,315.8637,280.5659,2022-01-15 08:17:44
BB840,5600,MAXUM,RUNNING,R02MSH604,,2200,096ECMS003,V89C JT1X16 C753EE{A},AMS096EC1002A,5514,34528,22-01-14 11:46,22-01-15 05:14,MTI,FBGA-96UEC,0983346.006,,315.8637,,3000M,TB-B3,,2200,1091A06T41,,R02MSGW02,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,,315.8637,280.5659,2022-01-15 05:14:21
