lot_number,oper,cust,pin_pkg,prod_id,qty,part_id,part_no,bd_id,entity,start_time,end_time
R23ABAG01,2200,WINBOND,STDFN08YD4AW,008YDAB031,9120,1091A07T21,A0803CB1340,AAB008YD4004A,BB864,2022-06-06 10:23:00,2022-06-07 13:01:32
R22ABC108,2200,WINBOND,STDFN08YD4AW,008YDAB031,5408,1091A07T21,A0803CB1340,AAB008YD4004A,BB864,2022-06-07 13:01:32,2022-06-08 04:49:26
R22ABC201,2200,WINBOND,STDFN08YD4AW,008YDAB031,2671,1091A07T21,A0803CB1340,AAB008YD4004A,BB864,2022-06-08 04:49:26,2022-06-08 12:37:37
R23ABAK01,2200,WINBOND,STDFN08YD4AW,008YDAB031,9120,1091A07T21,A0803CB1340,AAB008YD4004A,BB864,2022-06-08 12:37:37,2022-06-09 15:16:09
R23ABAH04,2200,WINBOND,STDFN08YD4AW,008YDAB031,9120,1091A07T21,A0803CB1340,AAB008YD4004A,BB864,2022-06-09 15:16:09,2022-06-10 17:54:42
R23ABH810,2200,WINBOND,DFN-08YM2D,008YMAB062,16000,1091A07T21,A0803CB0832,AAB008YM2023A,BB868,2022-06-06 12:41:00,2022-06-07 01:14:56
R23ABHA09,2200,WINBOND,DFN-08YM2D,008YMAB062,16000,1091A07T21,A0803CB0832,AAB008YM2023A,BB868,2022-06-07 01:14:56,2022-06-07 13:48:52
R23ABHA13,2200,WINBOND,DFN-08YM2D,008YMAB062,8672,1091A07T21,A0803CB0832,AAB008YM2023A,BB868,2022-06-07 13:48:52,2022-06-07 20:37:30
R23ABAJ01,2200,WINBOND,STDFN08YD4AW,008YDAB031,9120,1091A07T21,A0803CB1340,AAB008YD4004A,BB872,2022-06-06 13:03:00,2022-06-07 15:41:32
R23ABAK02,2200,WINBOND,STDFN08YD4AW,008YDAB031,9057,1091A07T21,A0803CB1340,AAB008YD4004A,BB872,2022-06-07 15:41:32,2022-06-08 18:09:02
R23ABAH01,2200,WINBOND,STDFN08YD4AW,008YDAB031,9120,1091A07T21,A0803CB1340,AAB008YD4004A,BB872,2022-06-08 18:09:02,2022-06-09 20:47:35
R20ASCH08,2200,EliteMT,FBGA-96UEL,096ELAS043,2960,1091G08PA4,A0803CB1240,AAS096EL1009B,BB880,2022-06-06 14:52:00,2022-06-07 13:57:01
R20ASBY03,2200,EliteMT,FBGA-96UEL,096ELAS043,2940,1091G08PA4,A0803CB1240,AAS096EL1009B,BB880,2022-06-07 13:57:01,2022-06-08 12:52:41
