,bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time,start_time_trans,end_time_trans
148,ACD096EL1003A,AAB054TN1004A,210.0,BBB34,"CWN,SC,CSC",,R23ABBQ01,BBB34_1,0.0,2022-06-06 08:06:00,2022-06-06 11:36:00
149,AAB054TN1004A,ATE096EI1001A,1765.399954,BBB34,"CWN,SC,CSC",R23ABBP03,R23TEAJ10,BBB34_3,1555.399954,2022-06-07 10:01:23,2022-06-07 13:31:23
150,ACD096EL1003A,AMS096EC3001B,174.0,BBB35,"MC,CSC",,R23MSML07,BBB35_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
151,ANV0086A1069A,AAW008YM2004A,174.0,BBD09,"MC,CSC",,R23AWA910,BBD09_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
152,AAB008YM2018A,AAW008YM2004A,174.0,BBD12,"MC,CSC",,R23AWA905,BBD12_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
153,AAB008YM2018A,AAW008Y62017A,294.0,BBD23,"EU,MC,CSC",R22ABGK05,R23AWCN03,BBD23_1,0.0,2022-06-06 08:06:00,2022-06-06 13:00:00
154,AOK016D53002A,ANV048TR2018A,174.0,BBH49,"MC,CSC",R22OKA418,R22NVYM24,BBH49_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
155,AOK016D53002A,ANV048TR2018A,174.0,BBH60,"MC,CSC",R22OKA417,R22NVYMB3,BBH60_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
156,ANV048TR2004B,ANV048TR2018A,174.0,BBH67,"MC,CSC",R21NVXB34,R22NVYM06,BBH67_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
157,AHQ0345V1001A,AEU0086B1009A,219.0,BBR02,"MC,CSC",R22HQB303,R22EUL301,BBR02_1,45.0,2022-06-06 08:51:00,2022-06-06 11:45:00
158,AAW016D53004A,ANV132X2C057A,294.0,BBR11,"EU,MC,CSC",R22AWAI10,R23NVA830,BBR11_1,0.0,2022-06-06 08:06:00,2022-06-06 13:00:00
159,AAW016D53004A,ANV132X2C057A,294.0,BBR12,"EU,MC,CSC",R22AWAG20,R23NVA827,BBR12_1,0.0,2022-06-06 08:06:00,2022-06-06 13:00:00
160,AAW016D53004A,ANV132X2C057A,294.0,BBR19,"EU,MC,CSC",R22AWAP09,R23NVA840,BBR19_1,0.0,2022-06-06 08:06:00,2022-06-06 13:00:00
161,AAW016D53004A,AMS096EC1002A,174.0,BBR23,"MC,CSC",R22AWAI25,R23MSL603,BBR23_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
162,AAW016D53004A,AMS078EP1001A,174.0,BBR25,"MC,CSC",,R23MSKH03,BBR25_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
163,AAW016D53004A,AMS078EP1001A,174.0,BBR26,"MC,CSC",R22AWAI20,R23MSKN02,BBR26_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
164,AAW016D53004A,AMS078EP1001A,174.0,BBR28,"MC,CSC",R22AWAP19,R23MSKS04,BBR28_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
165,AAW016D53004A,AMS096EC1002A,174.0,BBR29,"MC,CSC",R22AWAI24,R23MSL205,BBR29_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
