wrto_route,wrto_oper,wrto_seq_num,wrto_opr_shrt_desc
BGA254,2010,4,LAPPING
BGA254,2020,5,A21 QUEUE
BGA254,2030,6,W/M
BGA254,2040,7,D/S
BGA254,2050,8,A31
BGA254,2060,9,2IP
BGA254,2061,10,UV
BGA254,2070,11,D/A
BGA254,2080,12,D/A CURE
BGA254,2150,13,PLASMA
BGA254,2090,14,POST D/A Q
BGA254,2200,15,W/B
BGA254,2209,16,BMP
BGA254,2210,17,3IP
BGA254,2250,18,PLASMA
BGA254,2230,19,M/D QUEUE
BGA254,2300,20,M/D
BGA254,2320,21,T/M
BGA254,6000,22,WTC2
BGA254,2330,23,PMC
BGA254,2405,24,PLASMA
BGA254,2418,25,WTC
BGA254,2410,26,S/P
BGA254,2430,27,F/S
BGA254,2435,28,P/P
BGA254,2440,29,O/S
BGA254,2450,30,L/S
BGA254,2460,31,F/V
BGA254,2470,32,4IP
BGA254,2480,33,PACK
BGA254,2490,34,SHIP
BGA256,2000,1,IQC
BGA256,2003,2,TPM
BGA256,2005,3,TAPING
BGA256,2010,4,LAPPING
BGA256,2020,5,A21 QUEUE
BGA256,2030,6,W/M
BGA256,2040,7,D/S
BGA256,2050,8,A31
BGA256,2060,9,2IP
BGA256,2070,10,D/A
BGA256,2080,11,D/A CURE
BGA256,2150,12,PLASMA
BGA256,2090,13,POST D/A Q
BGA256,2200,14,W/B
BGA256,2210,15,3IP
BGA256,2250,16,PLASMA
BGA256,2230,17,M/D QUEUE
BGA256,2300,18,M/D
BGA256,2320,19,T/M
BGA256,6000,20,WTC2
BGA256,2330,21,PMC
BGA256,2405,22,PLASMA
BGA256,2418,23,WTC
BGA256,2410,24,S/P
BGA256,2430,25,F/S
BGA256,2435,26,P/P
BGA256,2440,27,O/S
BGA256,2450,28,L/S
BGA256,2460,29,F/V
BGA256,2470,30,4IP
BGA256,2480,31,PACK
BGA256,2490,32,SHIP
BGA257,2000,1,IQC
BGA257,2003,2,TPM
BGA257,2005,3,TAPING
BGA257,2010,4,LAPPING
BGA257,2020,5,A21 QUEUE
BGA257,2030,6,W/M
BGA257,2040,7,D/S
BGA257,2050,8,A31
BGA257,2060,9,2IP
BGA257,2061,10,UV
BGA257,2070,11,D/A
BGA257,2080,12,D/A CURE
BGA257,2150,13,PLASMA
BGA257,2090,14,POST D/A Q
BGA257,2200,15,W/B
