¦C¼Æ,bd_id,oper,model,remark,trans_date,trans_time,
2543,	AAB060NR1006A       ,	2200,	UTC1000S    ,	AAB060NR1006A-2200-Criteria             ,	20211125,	2759,
2544,	AAB060NR1006A       ,	2200,	UTC2000     ,	AAB060NR1006A-2200-Criteria             ,	20211125,	2759,
2545,	AMS078C91003A       ,	2200,	UTC1000S    ,	AMS078C91003A-2200-Criteria             ,	20211125,	4355,
2546,	AMS078C91003A       ,	2200,	UTC2000     ,	AMS078C91003A-2200-Criteria             ,	20211125,	4355,
2547,	AMS078C91003A       ,	2200,	UTC3000     ,	AMS078C91003A-2200-Criteria             ,	20211125,	4355,
2548,	AMS078C91003A       ,	2200,	MAXUM       ,	AMS078C91003A-2200-Criteria             ,	20211125,	4355,
2549,	AMS078C91003A       ,	2200,	MAXUM-PLUS  ,	AMS078C91003A-2200-Criteria             ,	20211125,	4355,
2550,	AVE008YD2004A       ,	2200,	MAXUM       ,	20211125-A-AVE008YD2004A-2200-Criteria  ,	20211125,	71203,
2551,	AAS008YQ2020A       ,	2200,	MAXUM       ,	20211125-B-AAS008YQ2020A-2200-Criteria  ,	20211125,	90745,
2552,	AAS008FG1034A       ,	2200,	MAXUM       ,	20211125-C-AAS008FG1034A-2200-Criteria  ,	20211125,	91600,
2553,	AAS008YQ2021A       ,	2200,	MAXUM       ,	20211125-B-AAS008YQ2021A-2200-Criteria  ,	20211125,	92356,
2554,	AAB008YQ2045A       ,	2200,	MAXUM       ,	20211125-E-AAB008YQ2045A-2200-Criteria  ,	20211125,	93312,
2555,	AMS048TW1057A       ,	2200,	UTC1000S    ,	AMS048TW1057A-2200-Criteria             ,	20211125,	143352,
2556,	AOK016D54002A       ,	2200,	UTC2000     ,	20211125-A-AOK016D54002A-2200-Criteria  ,	20211125,	144749,
2557,	AAS096EL1017A       ,	2200,	MAXUM       ,	20211125-A-AAS096EL1017A-2200-Criteria  ,	20211125,	154324,
2558,	AHQ0225N1001A       ,	2200,	ICONN       ,	20211125-A-AHQ0225N1001A-2200-Criteria  ,	20211125,	202240,
2559,	ABU168RM1003A       ,	2200,	MAXUM       ,	20211125-A-ABU168RM1003A-2200-Criteria  ,	20211125,	230629,
2560,	AHQ0282L3002B       ,	2200,	ICONN       ,	20211125-A-AHQ0282L3002B-2200-Criteria  ,	20211125,	231017,
2561,	AAB162KE1010A       ,	2200,	UTC1000S    ,	20211126-B-AAB162KE1010A-2200-Criteria  ,	20211126,	152922,
2562,	AAB162KE1010A       ,	2200,	UTC2000     ,	20211126-B-AAB162KE1010A-2200-Criteria  ,	20211126,	152922,
2563,	AAB162KE1010A       ,	2200,	UTC3000     ,	20211126-B-AAB162KE1010A-2200-Criteria  ,	20211126,	152922,
2564,	AAB162KE1010A       ,	2200,	UTC5000S    ,	20211126-B-AAB162KE1010A-2200-Criteria  ,	20211126,	152922,
2565,	ABU064MR1004A       ,	2200,	UTC1000S    ,	ABU064MR1004A-2200-Criteria             ,	20210204,	3000,
2566,	AAW024MA6019B       ,	2200,	UTC1000S    ,	20211126-B-AAW024MA6019B-2200-Criteria  ,	20211126,	14753,
2567,	AAW024MA6019B       ,	2200,	UTC2000     ,	20211126-B-AAW024MA6019B-2200-Criteria  ,	20211126,	14753,
2568,	ACD096CA4001B       ,	2200,	UTC1000S    ,	20211126-B-ACD096CA4001B-2200-Criteria  ,	20211126,	91513,
2569,	ACD096CA4001B       ,	2200,	UTC2000     ,	20211126-B-ACD096CA4001B-2200-Criteria  ,	20211126,	91513,
2570,	ACD096CA4001B       ,	2200,	UTC3000     ,	20211126-B-ACD096CA4001B-2200-Criteria  ,	20211126,	91513,
2571,	ACD096CA4001B       ,	2200,	UTC5000S    ,	20211126-B-ACD096CA4001B-2200-Criteria  ,	20211126,	91513,
2572,	AHQ0442J3006A       ,	2200,	ICONN       ,	20211126-A-AHQ0442J3006A-2200-Criteria  ,	20211126,	101826,
2573,	AHQ0442J3006A       ,	2200,	RAPID       ,	20211126-A-AHQ0442J3006A-2200-Criteria  ,	20211126,	101826,
2574,	AHQ0442J3006A       ,	3200,	ICONN-PLUS  ,	20211126-A-AHQ0442J3006A-3200-Criteria  ,	20211126,	101826,
2575,	AHQ0442J3006A       ,	3200,	RAPID       ,	20211126-A-AHQ0442J3006A-3200-Criteria  ,	20211126,	101826,
2576,	ABU153XT9005A       ,	2200,	ICONN       ,	20211126-A-ABU153XT9005A-2200-Criteria  ,	20211126,	102738,
2577,	AEU132X2C006A       ,	2200,	RAPID       ,	20211126-C-AEU132X2C006A-2200-Criteria  ,	20211126,	104448,
2578,	AMS048TW1060A       ,	2200,	UTC1000S    ,	20211126-C-AMS048TW1060A-2200-Criteria  ,	20211126,	212522,
2579,	AOK016D54003A       ,	2200,	UTC2000     ,	20211126-A-AOK016D54003A-2200-Criteria  ,	20211126,	140538,
2580,	AAW048TP1041B       ,	2200,	UTC2000     ,	20211130-B-AAW048TP1041B-2200-Criteria  ,	20211130,	185452,
2581,	AAB008YM2018A       ,	2200,	MAXUM-PLUS  ,	20211201-A-AAB008YM2018A-2200-Criteria  ,	20211201,	10529,
2582,	AAB008YM2018A       ,	2200,	MAXUM       ,	20211201-A-AAB008YM2018A-2200-Criteria  ,	20211201,	10529,
2583,	AAB024MAA005A       ,	2200,	UTC1000S    ,	AAB024MAA005A-2200-Criteria             ,	20210204,	1502,
2584,	AAB008YM2018A       ,	2200,	ICONN       ,	20211201-A-AAB008YM2018A-2200-Criteria  ,	20211201,	10529,
2585,	AAB008YM2018A       ,	2200,	ICONN-PLUS  ,	20211201-A-AAB008YM2018A-2200-Criteria  ,	20211201,	10529,
2586,	AAB008YM2018A       ,	2200,	RAPID       ,	20211201-A-AAB008YM2018A-2200-Criteria  ,	20211201,	10529,
2587,	AAB084CC9001A       ,	2200,	UTC1000S    ,	AAB084CC9001A-2200-Criteria             ,	20211126,	143308,
2588,	AAB084CC9001A       ,	2200,	UTC2000     ,	AAB084CC9001A-2200-Criteria             ,	20211126,	143308,
2589,	AAB024MAA001A       ,	2200,	UTC2000     ,	AAB024MAA001A-2200-Criteria             ,	20211126,	144859,
2590,	AAW048TP1008B       ,	2200,	UTC2000     ,	20211126-A-AAW048TP1008B-2200-Criteria  ,	20211126,	145635,
2591,	AAW048TP1008B       ,	2200,	UTC3000     ,	20211126-A-AAW048TP1008B-2200-Criteria  ,	20211126,	145635,
2592,	AAW048TP1008B       ,	2200,	UTC5000S    ,	20211126-A-AAW048TP1008B-2200-Criteria  ,	20211126,	145635,
2593,	AAW048TP1008B       ,	2200,	MAXUM       ,	20211126-A-AAW048TP1008B-2200-Criteria  ,	20211126,	145635,
2594,	AAW048TP1041B       ,	2200,	UTC3000     ,	20211130-B-AAW048TP1041B-2200-Criteria  ,	20211130,	185452,
2595,	AAW048TP1041B       ,	2200,	UTC5000S    ,	20211130-B-AAW048TP1041B-2200-Criteria  ,	20211130,	185452,
2596,	AAB096EL1003A       ,	2200,	UTC1000S    ,	AAB096EL1003A-2200-Criteria             ,	20211126,	150455,
2597,	ABU064RK1001A       ,	2200,	UTC1000S    ,	ABU064RK1001A-2200-Criteria             ,	20211126,	150456,
2598,	ABU064RK1001A       ,	2200,	UTC2000     ,	ABU064RK1001A-2200-Criteria             ,	20211126,	150456,
2599,	ACD066TN1002A       ,	2200,	UTC1000S    ,	ACD066TN1002A-2200-Criteria             ,	20211126,	150458,
2600,	ACD066TN1002A       ,	2200,	UTC2000     ,	ACD066TN1002A-2200-Criteria             ,	20211126,	150458,
2601,	AOK036RP1001A       ,	2200,	UTC1000S    ,	AOK036RP1001A-2200-Criteria             ,	20210204,	180502,
2602,	AOK036RP1001A       ,	2200,	UTC2000     ,	AOK036RP1001A-2200-Criteria             ,	20210204,	180502,
2603,	ABU024MA6009A       ,	2200,	UTC2000     ,	ABU024MA6009A-2200-Criteria             ,	20211126,	152055,
2604,	ABU048MA4014A       ,	2200,	UTC1000S    ,	ABU048MA4014A-2200-Criteria             ,	20211126,	152057,
2605,	AB054NR1001A        ,	2200,	UTC1000S    ,	AB054NR1001A-2200-Criteria              ,	20210204,	202659,
2606,	AB054NR1001A        ,	2200,	UTC2000     ,	AB054NR1001A-2200-Criteria              ,	20210204,	202659,
2607,	ABU048MA4014A       ,	2200,	UTC2000     ,	ABU048MA4014A-2200-Criteria             ,	20211126,	152057,
2608,	ABU048MA4014A       ,	2200,	UTC3000     ,	ABU048MA4014A-2200-Criteria             ,	20211126,	152057,
2609,	ACS054TS1004A       ,	2200,	UTC1000S    ,	20211202-A-ACS054TS1004A-2200-Criteria  ,	20211202,	142819,
2610,	BU048MW2005C        ,	2200,	UTC1000S    ,	20211126-A-BU048MW2005C-2200-Criteria   ,	20211126,	152911,
2611,	ABU056TH2001A       ,	2200,	UTC1000S    ,	ABU056TH2001A-2200-Criteria             ,	20211126,	153655,
2612,	ABU056TH2001A       ,	2200,	UTC2000     ,	ABU056TH2001A-2200-Criteria             ,	20211126,	153655,
2613,	AXY391KJ3002B       ,	3200,	UTC3000     ,	20211126-A-AXY391KJ3002B-3200-Criteria  ,	20211126,	154223,
2614,	AXY391KJ3002B       ,	3200,	ICONN       ,	20211126-A-AXY391KJ3002B-3200-Criteria  ,	20211126,	154223,
2615,	AXY391KJ3002B       ,	2200,	UTC3000     ,	20211126-A-AXY391KJ3002B-2200-Criteria  ,	20211126,	154223,
2616,	AXY391KJ3002B       ,	2200,	ICONN       ,	20211126-A-AXY391KJ3002B-2200-Criteria  ,	20211126,	154223,
2617,	AXY391KJ3002B       ,	3400,	UTC3000     ,	20211126-A-AXY391KJ3002B-3400-Criteria  ,	20211126,	154223,
2618,	AXY391KJ3002B       ,	3400,	ICONN       ,	20211126-A-AXY391KJ3002B-3400-Criteria  ,	20211126,	154223,
2619,	ABU008YQ2015A       ,	3200,	MAXUM       ,	20211126-D-ABU008YQ2015A-3200-Criteria  ,	20211126,	232631,
