pkg_type,process_id,version,detail_id,remark,
	T,	048MA364       ,	 F,	S22000102,	A0801CB1057                             ,
	T,	084UC015       ,	 V,	S22000102,	A0801CB0641                             ,
	T,	090NC061       ,	 G,	S22000102,	A0801CB0622                             ,
	T,	168XI001       ,	 D,	S22000102,	A0801CB1054(UTC)                        ,
	T,	168XI001       ,	 D,	S22000102,	A0803CB1054(KNS)                        ,
	T,	168XI001       ,	 D,	S32000102,	A0801CB1054(UTC)                        ,
	T,	168XI001       ,	 D,	S32000102,	A0803CB1054(KNS)                        ,
	T,	036AB062       ,	 G,	S22000102,	A0803CB0430                             ,
	T,	008DR048       ,	 B,	S22000102,	A0801CB1137                             ,
	T,	008DR048       ,	 B,	S32000102,	A0801CB1137                             ,
	T,	054TN077       ,	 G,	S22000102,	A0801CB0758 (UTC)                       ,
	T,	054TN077       ,	 G,	S22000102,	A0803CB0758 (KNS)                       ,
	T,	054MF005       ,	 F,	S22000102,	A0801CB0514                             ,
	T,	054TN074       ,	 J,	S22000102,	A0801CB0756 (UTC)                       ,
	T,	054TN074       ,	 J,	S22000102,	A0803CB0756 (KNS)                       ,
	T,	060CA010       ,	 I,	S22000102,	A0801CB0802 (UTC)                       ,
	T,	060CA010       ,	 I,	S22000102,	A0803CB0802 (KNS)                       ,
	T,	066TN178       ,	 D,	S22000102,	A0801CB1293(UTC)                        ,
	T,	066TN178       ,	 D,	S22000102,	A0803CB1293(KNS)                        ,
	T,	008DR046       ,	 B,	S22000102,	A0801CB1137                             ,
	T,	084UC087       ,	 J,	S22000102,	A0801CB0660 (UTC)                       ,
	T,	084UC087       ,	 J,	S22000102,	A0803CB0660 (KNS)                       ,
	T,	054TN117       ,	 F,	S22000102,	A0801CB0756(UTC)                        ,
	T,	054TN117       ,	 F,	S22000102,	A0803CB0756(KNS)                        ,
	T,	096EL035       ,	 E,	S22000102,	A0801CB1141(UTC)                        ,
	T,	084XU014       ,	 I,	S22000102,	A0801CB0486(UTC)                        ,
	T,	084XU014       ,	 I,	S22000102,	A0803CB0486(KNS)                        ,
	T,	084XU014       ,	 I,	S32000102,	A0801CB0486(UTC)                        ,
	T,	084XU014       ,	 I,	S32000102,	A0803CB0486(KNS)                        ,
	T,	060CD121       ,	 F,	S22000102,	A0801CB1046                             ,
	T,	054TS034       ,	 C,	S22000102,	A0801CB0971 (UTC)                       ,
	T,	090NC050       ,	 I,	S22000102,	A0801CB0622                             ,
	T,	0343A010       ,	 C,	S22000102,	A0803CB1094(KNS)                        ,
	T,	0343A010       ,	 C,	S32000102,	A0803CB1094(KNS)                        ,
	T,	0282L060       ,	 C,	S22000102,	A0803CB1001(KNS)                        ,
	T,	0225N003       ,	 C,	S22000102,	A0803CB1267                             ,
	T,	0242D007       ,	 E,	S22000102,	A0801CB0966 (UTC)                       ,
	T,	0242D007       ,	 E,	S22000102,	A0803CB0966 (KNS)                       ,
	T,	048TW473       ,	 E,	S22000102,	A0801CB1150(UTC)                        ,
	T,	048TW473       ,	 E,	S22000102,	A0803CB1150(KNS)                        ,
	T,	078EP006       ,	 E,	S22000102,	A0801CB1264(UTC)                        ,
	T,	078EP006       ,	 E,	S22000102,	A0803CB1264(KNS)                        ,
	T,	096EC009       ,	 Q,	S22000102,	A0801CB0824 (UTC)                       ,
	T,	096EC009       ,	 Q,	S22000102,	A0803CB0824 (KNS)                       ,
	T,	096EC002       ,	 Y,	S22000102,	A0801CB0644 (UTC)                       ,
	T,	096EC002       ,	 Y,	S22000102,	A0803CB0644 (KNS)                       ,
	T,	048TW503       ,	 J,	S22000102,	A0801CB0616                             ,
	T,	048TW502       ,	 E,	S22000102,	A0801CB0731                             ,
	T,	048TW497       ,	 G,	S22000102,	A0801CB1151(UTC)                        ,
	T,	048TW511       ,	 G,	S22000102,	A0801CB0564(UTC)                        ,
	T,	153XT164       ,	 E,	S22000102,	A0801CB1072(UTC)                        ,
	T,	153XT164       ,	 E,	S22000102,	A0803CB1294(KNS)                        ,
	T,	132X2299       ,	 C,	S22000102,	A0801CB1176(UTC)                        ,
	T,	132X2299       ,	 C,	S22000102,	A0803CB1295(KNS)                        ,
	T,	132X2297       ,	 C,	S22000102,	A0801CB1176(UTC)                        ,
	T,	132X2297       ,	 C,	S22000102,	A0803CB1295(KNS)                        ,
	T,	132X2348       ,	 A,	S22000102,	A0801CB1176(UTC)                        ,
	T,	132X2348       ,	 A,	S22000102,	A0803CB1295(KNS)                        ,
	T,	153XT172       ,	 B,	S22000102,	A0801CB1072(UTC)                        ,
	T,	153XT172       ,	 B,	S22000102,	A0803CB1294(KNS)                        ,
	T,	153XT170       ,	 B,	S22000102,	A0801CB1072(UTC)                        ,
	T,	153XT170       ,	 B,	S22000102,	A0803CB1294(KNS)                        ,
	T,	048TV158       ,	 G,	S22000102,	A0801CB0649                             ,
	T,	008YD083       ,	 J,	S22000102,	A0803CB1038(KNS)                        ,
	T,	008YQ158       ,	 J,	S22000102,	A0803CB1174(KNS)                        ,
	T,	056TH165       ,	 B,	S22000102,	A0801CB0493(UTC)                        ,
	T,	056MT047       ,	 C,	S22000102,	A0801CB0516(UTC)                        ,
	T,	008YD097       ,	 G,	S22000102,	A0803CB0635(KNS)                        ,
	T,	008YM139       ,	 C,	S22000102,	A0803CB1069(KNS)                        ,
	T,	063NW025       ,	 I,	S22000102,	A0801CB0619                             ,
	T,	048TP196       ,	 F,	S22000102,	A0801CB0874(UTC)                        ,
	T,	048TP196       ,	 F,	S22000102,	A0803CB0874(KNS)                        ,
	T,	008Y6100       ,	 C,	S22000102,	A0803CB0913(KNS)                        ,
	T,	008YQ191       ,	 C,	S22000102,	A0803CB1174(KNS)                        ,
	T,	008YM138       ,	 C,	S22000102,	A0803CB1069(KNS)                        ,
