ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB887,MAXUM,RUNNING,R07ASB913,2200,096ELAS001,AAS096EL1002A,22-02-16 21:15,22-02-16 01:42,EliteMT,FBGA-96UEL-3,2980,02/22/2022 MP,1091G08PA1,,R07ASAJ08,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 21:15,2200
BB888,MAXUM,RUNNING,R07VGA518,2200,008YQVG006,ABU008YQ2002A,22-02-16 12:15,22-02-16 07:22,ISSI-VG,DFN-08YQ2A,4320,02/23/2022 MP,1091A09C41,,R07VGA507,DFN-08YQ2A,ISSI-VG,ABU008YQ2002A,1091A09C41,885.7602,22-02-16 12:15,2200
BB889,MAXUM,RUNNING,R07ASB919,2200,096ELAS001,AAS096EL1002A,22-02-16 22:23,22-02-16 02:58,EliteMT,FBGA-96UEL-3,2960,02/24/2022 MP,1091G08PA1,,R07ASAJ13,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 22:23,2200
BB890,MAXUM,WAIT-REPAIR,R07ABH912,2200,008Y6AB024,AAB008Y62010A,22-02-16 08:18:51,22-02-16 07:13,WINBOND,DFN-08Y62D,8320,02/25/2022 MP,1091A07T21,,R07ABH804,DFN-08Y62D,WINBOND,AAB008Y62010A,1091A07T21,1091.3781,22-02-16 08:18,2200
BB891,MAXUM,RUNNING,R07ASB908,2200,096ELAS001,AAS096EL1002A,22-02-16 19:01,22-02-15 23:44,EliteMT,FBGA-96UEL-3,2938,02/26/2022 MP,1091G08PA1,,R07ASAJ11,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 19:01,2200
BB892,MAXUM,RUNNING,R07ASB902,2200,096ELAS001,AAS096EL1002A,22-02-16 22:12,22-02-16 02:38,EliteMT,FBGA-96UEL-3,2982,02/27/2022 MP,1091G08PA1,,R07ASAJ22,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 22:12,2200
BB893,MAXUM,RUNNING,R07ASB502,2200,096ELAS001,AAS096EL1002A,22-02-16 10:14,22-02-15 14:33,EliteMT,FBGA-96UEL-3,3000,02/28/2022 MP,1091G08PA1,,R07ASAH09,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 10:14,2200
BB894,MAXUM,RUNNING,R07ASCI10,2200,008YQAS021,AAS008YQ2001B,22-02-16 13:01,22-02-16 07:18,EliteMT,DFN-08YQ2A,4320,,1091G08PA4,,R07ASCH12,DFN-08YQ2A,EliteMT,AAS008YQ2001B,1091G08PA4,755.619,22-02-16 13:01,2200
BB895,MAXUM,RUNNING,R07ASB509,2200,096ELAS001,AAS096EL1002A,22-02-16 14:35,22-02-15 18:54,EliteMT,FBGA-96UEL-3,3000,,1091G08PA1,,R07ASAG15,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 14:35,2200
BB896,MAXUM,RUNNING,R07ASB916,2200,096ELAS001,AAS096EL1002A,22-02-16 20:02,22-02-16 00:30,EliteMT,FBGA-96UEL-3,2978,,1091G08PA1,,R07ASAJ14,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 20:02,2200
