wrto_route,wrto_oper,wrto_seq_num,wrto_opr_shrt_desc,wrto_prod_unt_1
BGA445,2060,9,2IP,EA
BGA445,2070,10,D/A,EA
BGA445,2080,11,D/A CURE,EA
BGA445,2150,12,PLASMA,EA
BGA445,2090,13,POST D/A Q,EA
BGA445,2200,14,W/B,EA
BGA445,2209,15,BMP,EA
BGA445,2210,16,3IP,EA
BGA445,2250,17,PLASMA,EA
BGA445,2230,18,M/D QUEUE,EA
BGA445,2300,19,M/D,EA
BGA445,2320,20,T/M,EA
BGA445,6000,21,WTC2,EA
BGA445,2330,22,PMC,EA
BGA445,2405,23,PLASMA,EA
BGA445,2418,24,WTC,EA
BGA445,2410,25,S/P,EA
BGA445,2430,26,F/S,EA
BGA445,2435,27,P/P,EA
BGA445,2440,28,O/S,EA
BGA445,2450,29,L/S,EA
BGA445,2460,30,F/V,EA
BGA445,2470,31,4IP,EA
BGA445,2480,32,PACK,EA
BGA445,2490,33,SHIP,EA
BGA453,2000,1,IQC,PCS
BGA453,2003,2,TPM,PCS
BGA453,2005,3,TAPING,PCS
BGA453,2010,4,LAPPING,PCS
BGA453,2020,5,A21 QUEUE,PCS
BGA453,2030,6,W/M,PCS
BGA453,2040,7,D/S,PCS
BGA453,2050,8,A31,EA
BGA453,2056,9,AOI,EA
BGA453,2059,10,AOIR,EA
BGA453,2060,11,2IP,EA
BGA453,2070,12,D/A,EA
BGA453,2080,13,D/A CURE,EA
BGA453,2150,14,PLASMA,EA
BGA453,2090,15,POST D/A Q,EA
BGA453,2200,16,W/B,EA
BGA453,2210,17,3IP,EA
BGA453,2250,18,PLASMA,EA
BGA453,2230,19,M/D QUEUE,EA
BGA453,2300,20,M/D,EA
BGA453,2320,21,T/M,EA
BGA453,6000,22,WTC2,EA
BGA453,2330,23,PMC,EA
BGA453,2405,24,PLASMA,EA
BGA453,2418,25,WTC,EA
BGA453,2410,26,S/P,EA
BGA453,2430,27,F/S,EA
