¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
461,	FPSTLGA44X4V,	AHQ0442J4004A       ,	0442JHQ034               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
462,	DFN-08Y62DW ,	AAS008Y62009A       ,	008Y6CM043ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
463,	DFN-08Y62D  ,	ABU008Y62012A       ,	008Y6CME15ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
464,	QFN-32YF1A  ,	ABW032YF1002B       ,	032YFCM022ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
465,	FPSSLGA41CRV,	AHQ0415L1003B       ,	0415LCM006ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
466,	FBGA-96UEI  ,	AQB096EI1001A       ,	096EICME001ENG           ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
467,	STBGA132C4V ,	ANV132X2B006A       ,	132X2CM095ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
468,	STBGA132G4VT,	ANV132X2C090A       ,	132X2CME58ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
469,	MBGA165D2U  ,	ABU165MC4001A       ,	165MCCM016ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
470,	STBGA345UBC ,	ANV345XTA010A       ,	345XTCM027ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
471,	STLGA08J4U  ,	ACD008DR1009B       ,	008DRCD040               ,	0.00,	0.00,	4.66,	0.00,	0.00,	0.00,
472,	VTLGA08J4U  ,	AAS008DR1006A       ,	008DRAS009               ,	0.00,	0.00,	10.37,	0.00,	0.00,	5.67,
473,	DFN-08YB2G  ,	AAS008YB2005A       ,	008YBAS003               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
474,	SSBGA153JAVT,	AAS153XT9015A       ,	153XTAS008               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
475,	MAT         ,	                    ,	0008WVE014               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
476,	MINIBGA48A2 ,	GA048MA2012A        ,	048MAGA019               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
477,	VFBGA60K8L  ,	AGA060NR1004A       ,	060NRGA006               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
