el_key,el_customer,el_entity_model,el_entity_oper,el_entity_group,el_check_value,el_action
RESTRAINED-ENTITY,Phison,RAD3510,2005,AT5*,SUBMATWNV366,A
RESTRAINED-ENTITY,Phison,RAD3510,2005,AT5*,SUBMATWNV367,A
RESTRAINED-ENTITY,Teamgroup,RAD3500,2005,AT2*,SUBMATWYT008,R
RESTRAINED-ENTITY,Teamgroup,RAD3500,2005,AT2*,SUBMATWYT009,R
RESTRAINED-ENTITY,Phison,RAD3510,2005,AT5*,SUBMATWNV351,A
RESTRAINED-ENTITY,Phison,RAD3510,2005,AT5*,SUBMATWNV357,A
RESTRAINED-ENTITY,Phison,RAD3500,2005,AT2*,SUBMATWNV332,R
RESTRAINED-ENTITY,Phison,RAD3500,2005,AT2*,SUBMATWNV333,R
RESTRAINED-ENTITY,Phison,RAD3500,2005,AT2*,SUBMATWNV352,R
RESTRAINED-ENTITY,MTI,RAD3500,2005,AT2*,Z21C1SA8CMS2768{SDBG}-ENG,R
RESTRAINED-ENTITY,Teamgroup,RAD3510,2005,AT5*,SUBMATWYT008,A
RESTRAINED-ENTITY,MTI,RAD3510,2005,AT5*,Z21C1SA8CMS2768{SDBG}-ENG,A
RESTRAINED-ENTITY,Transcend,RAD3500,2005,AT2*,SUBMATWEU030,R
RESTRAINED-ENTITY,Phison,RAD3500,2005,AT2*,SUBMATWNV357,R
RESTRAINED-ENTITY,Transcend,RAD3510,2005,AT5*,SUBMATWEU030,A
RESTRAINED-ENTITY,Phison,RAD3510,2005,AT5*,SUBMATWNV332,A
RESTRAINED-ENTITY,Phison,RAD3510,2005,AT5*,SUBMATWNV333,A
RESTRAINED-ENTITY,Teamgroup,RAD3510,2005,AT5*,SUBMATWYT009,A
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,CEN25S32AS1HM{M9ZFA}-ENG,R
RESTRAINED-ENTITY,WINBOND,DFG8761,2010,APW10,EAG077MI1/DB/W25Q02NWTBIM,R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,EH0A06FVC00B-ENG,R
RESTRAINED-ENTITY,ETRON,DFG8761,2010,APW10,EH0D05FVCXXB-XX-XXH,R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,EH0E05FVC-IMPROVE-ENG,R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,EH0E05FVC00B-ENG,R
RESTRAINED-ENTITY,ETRON,DFG8761,2010,APW10,EH0E05FVC00B-NL-H-AS-0000{Pre},R
