¦C¼Æ,bd_id,oper,model,remark,trans_date,trans_time,
573,	AHQ0415L1003B       ,	2200,	RAPID       ,	AHQ0415L1003B-2200-Criteria             ,	20220215,	63527,
574,	ANV132X2A023A       ,	2200,	RAPID       ,	20220215-A-ANV132X2A023A-2200-Criteria  ,	20220215,	72836,
575,	ACD084CC2002A       ,	2200,	UTC1000S    ,	20220216-B-ACD084CC2002A-2200-Criteria  ,	20220216,	93147,
576,	ACD084CC2002A       ,	2200,	UTC2000     ,	20220216-B-ACD084CC2002A-2200-Criteria  ,	20220216,	93147,
577,	ACD084CC2002A       ,	2200,	UTC3000     ,	20220216-B-ACD084CC2002A-2200-Criteria  ,	20220216,	93147,
578,	ACD084CC2002A       ,	2200,	MAXUM-PLUS  ,	20220216-B-ACD084CC2002A-2200-Criteria  ,	20220216,	93147,
579,	ACD084CC2002A       ,	2200,	MAXUM       ,	20220216-B-ACD084CC2002A-2200-Criteria  ,	20220216,	93147,
580,	AAB060NR1006A       ,	2200,	UTC1000S    ,	AAB060NR1006A-2200-Criteria             ,	20220215,	141706,
581,	AAB060NR1006A       ,	2200,	UTC2000     ,	AAB060NR1006A-2200-Criteria             ,	20220215,	141706,
582,	AAB024MA5012A       ,	2200,	UTC1000S    ,	AAB024MA5012A-2200-Criteria             ,	20220215,	143104,
583,	AAB024MA5012A       ,	2200,	UTC2000     ,	AAB024MA5012A-2200-Criteria             ,	20220215,	143104,
584,	AAW024MA5007A       ,	2200,	UTC1000S    ,	AAW024MA5007A-2200-Criteria             ,	20220215,	143106,
585,	AAW024MA5007A       ,	2200,	UTC2000     ,	AAW024MA5007A-2200-Criteria             ,	20220215,	143106,
586,	AAW024MA6009A       ,	2200,	UTC1000S    ,	AAW024MA6009A-2200-Criteria             ,	20220215,	143107,
587,	AAW024MA6009A       ,	2200,	UTC2000     ,	AAW024MA6009A-2200-Criteria             ,	20220215,	143107,
588,	AAW024MA6009A       ,	2200,	UTC3000     ,	AAW024MA6009A-2200-Criteria             ,	20220215,	143107,
589,	AAW064MR1008B       ,	2200,	UTC1000S    ,	AAW064MR1008B-2200-Criteria             ,	20220215,	143110,
590,	AAW064MR1008B       ,	2200,	UTC2000     ,	AAW064MR1008B-2200-Criteria             ,	20220215,	143110,
